,Title,NSE,Strength,Weakness,Oppurtunity,Threat
210,ICICI Securitie,ISEC,"['Stock passes majority of CANSLIM Investment criteria', 'Company with high TTM EPS Growth', 'Good quarterly growth in the recent results', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Increasing Revenue every Quarter for the past 4 Quarters', 'Increasing profits every quarter for the past 4 quarters', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)', 'High dividends, with rising dividend yields over last five years']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Promoter decreasing their shareholding', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Brokers upgraded recommendation or target price in the past three months', 'Street Favorite: High Analyst Rating with at least 20% upside', 'Highest Recovery from 52 Week Low', 'Decrease in Provision in recent results']",['Companies Increasing Debt as per Annual Report']
211,IDBI Bank,IDBI,"['Rising Net Cash Flow and Cash from Operating activity', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Zero Promoter Pledge', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)']","['Red Flag: High Interest Payments Compared to Earnings', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Red Flag: Downgrade by Credit Rating Agency', 'Declining Revenue every quarter for the past 2 quarters', 'Book Value Per Share deteriorating for last 2 years']","['Highest Recovery from 52 Week Low', 'Decrease in Provision in recent results', 'Stock with Low PE (PE < = 10)']",['Increase in NPA in Recent Results']
212,IDFC,IDFC,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with No Debt', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Annual net profit declining for last 2 years', 'Book Value Per Share deteriorating for last 2 years', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Results Screener: Stocks with upcoming results which are seeing positive shifts in share price', 'Turnaround companies- loss to profit QoQ', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low', 'Decrease in Provision in recent results', 'Stock with Low PE (PE < = 10)']",['Increasing Trend in Non-Core Income']
213,IDFC First Bank,IDFCFIRSTB,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing profits every quarter for the past 3 quarters', 'Company with Zero Promoter Pledge', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)', 'Strong Momentum: Price above short, medium and long term moving averages']","['Red Flag: High Interest Payments Compared to Earnings', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Red Flag: Downgrade by Credit Rating Agency', 'Companies with High Debt', 'Declining Revenue every quarter for the past 3 quarters', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Annual net profit declining for last 2 years', 'Book Value Per Share deteriorating for last 2 years']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Brokers upgraded recommendation or target price in the past three months', 'Decrease in Provision in recent results', 'Stock with Low PE (PE < = 10)']",['Increase in NPA in Recent Results']
214,IEX,IEX,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with No Debt', 'FII / FPI or Institutions increasing their shareholding']","['Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Positive Breakout Second Resistance  ( LTP > R2)', 'Street Favorite: High Analyst Rating with at least 20% upside', 'Negative to Positive growth in Sales and Profit with Strong Price momentum']",['Red Flag: Resignation of Top Management']
215,IFB Industries,IFBIND,"['Rising Net Cash Flow and Cash from Operating activity', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Annual net profit declining for last 2 years', 'Major fall in TTM Net Profit']","['Brokers upgraded recommendation or target price in the past three months', 'Turnaround companies- loss to profit QoQ', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']",None
216,IFCI,IFCI,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Zero Promoter Pledge']","['Red Flag: High Interest Payments Compared to Earnings', 'Red Flag: Downgrade by Credit Rating Agency', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Companies with High Debt', 'Low Piotroski Score : Companies with weak financials', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Decrease in Provision in recent results', 'Stock with Low PE (PE < = 10)']",['Increasing Trend in Non-Core Income']
217,IGL,IGL,"['Company with No Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 3 quarters', 'Declining profits every quarter for the past 3 quarters', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Results Screener: Stocks with upcoming results which are seeing positive shifts in share price', 'RSI indicating price strength']","['Recent Broker Downgrades in Reco or Target Price', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
218,IIFL Finance,IIFL,"['Good quarterly growth in the recent results', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company with Zero Promoter Pledge']","['Red Flag: High Interest Payments Compared to Earnings', 'Degrowth in Revenue and Profit', 'Companies with High Debt', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Annual net profit declining for last 2 years', 'Book Value Per Share deteriorating for last 2 years', 'Major fall in TTM Net Profit']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Profit making Companies with High ROCE and Low PE', 'Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']","['Increasing Trend in Non-Core Income', 'Increase in Provisions in Recent Results']"
219,India Cements,INDIACEM,"['Promoters increasing shareholding QoQ', 'MACD Crossover Above Signal Line', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company reducing Debt', 'Company with decreasing Promoter pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['Red Flag: High Interest Payments Compared to Earnings', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 4 quarters', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)']","['Individual Superstar Investors raised stake in these stocks', 'Positive Breakout Third Resistance ( LTP > R3)', 'Turnaround companies- loss to profit QoQ', 'RSI indicating price strength', 'High Volume, High Gain']",['Stocks with high PE (PE > 40)']
220,India Tourism D,ITDC,"['Company with Low Debt', 'Company with Zero Promoter Pledge']","['Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 2 quarters', 'Declining profits every quarter for the past 2 quarters', 'Low Piotroski Score : Companies with weak financials', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']",['Highest Recovery from 52 Week Low'],"['Upcoming Results for Nifty500 with Declining Share Price Over the Week', 'Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
221,Indiabulls Hsg,IBULHSGFIN,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Zero Promoter Pledge']","['Red Flag: High Interest Payments Compared to Earnings', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Red Flag: Downgrade by Credit Rating Agency', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Companies with High Debt', 'Declining Revenue every quarter for the past 4 quarters', 'Promoter decreasing their shareholding', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Positive Breakout Third Resistance ( LTP > R3)', 'Decrease in Provision in recent results', 'Stock with Low PE (PE < = 10)', 'High Volume, High Gain']","['Company with negative growth and promoters decreasing shareholding QoQ', 'Increasing Trend in Non-Core Income']"
222,Indiabulls Real,IBREALEST,"['Rising Net Cash Flow and Cash from Operating activity', 'Company with Low Debt', 'Company reducing Debt', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge']","['Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Declining Revenue every quarter for the past 2 quarters', 'Annual net profit declining for last 2 years', 'Major fall in TTM Net Profit', 'Weak Momentum: Price below Short, Medium and Long Term Averages']",['Positive Breakout First Resistance ( LTP > R1)'],['Increasing Trend in Non-Core Income']
223,Indiamart Inter,INDIAMART,"['Company with high TTM EPS Growth', 'Strong Annual EPS Growth', 'Strong QoQ EPS Growth in recent results', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with No Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Companies with rising net profit margins - quarterly as well as TTM basis', 'Strong Momentum: Price above short, medium and long term moving averages']","['Promoter decreasing their shareholding', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Positive Breakout Second Resistance  ( LTP > R2)', 'Highest Recovery from 52 Week Low']","['Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
224,Indian Bank,INDIANB,"['Strong Annual EPS Growth', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing profits every quarter for the past 2 quarters', 'Company with Zero Promoter Pledge']","['Red Flag: High Interest Payments Compared to Earnings', 'MACD Crossover Below Signal Line', 'MFs decreased their shareholding last quarter', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Decrease in NPA in recent results', 'Stock with Low PE (PE < = 10)']","['Increasing Trend in Non-Core Income', 'Increase in Provisions in Recent Results']"
225,Indian Hotels,INDHOTEL,"['Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Company with Zero Promoter Pledge', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Street Favorite: High Analyst Rating with at least 20% upside', 'Stock with Low PE (PE < = 10)']",None
226,Indoco Remedies,INDOCO,"['High Piotroski Score - Companies with strong financials', 'Company with high TTM EPS Growth', 'Strong Annual EPS Growth', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Companies with rising net profit margins - quarterly as well as TTM basis', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Declining Net Cash Flow : Companies not able to generate net cash', 'High volume, top losers']","['Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'RSI indicating price strength']",['Stocks with high PE (PE > 40)']
227,Indostar Capita,INDOSTAR,"['Promoters increasing shareholding QoQ', 'Promoter holding increased more than 2% QoQ', 'MACD Crossover Above Signal Line', 'Bullish Engulfing Pattern (Bullish Reversal)', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['Red Flag: High Interest Payments Compared to Earnings', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Companies with High Debt', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit']","['Positive Breakout First Resistance ( LTP > R1)', 'Turnaround companies- loss to profit QoQ', 'Decrease in Provision in recent results', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']",None
228,IndusInd Bank,INDUSINDBK,"['Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing profits every quarter for the past 2 quarters', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Companies with High Debt', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low', 'Decrease in NPA in recent results', 'Decrease in Provision in recent results', 'RSI indicating price strength']",None
229,Infibeam Avenue,INFIBEAM,"['Company with Low Debt', 'FII / FPI or Institutions increasing their shareholding']","['Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Red Flag: Downgrade by Credit Rating Agency', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 4 quarters', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Highest Recovery from 52 Week Low']",['Stocks with high PE (PE > 40)']
230,Info Edge,NAUKRI,"['MACD Crossover Above Signal Line', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Near 52 Week High']","['Negative Breakdown Second Support (LTP < S2)', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'High PE with Negative ROE', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Declining Revenue every quarter for the past 2 quarters', 'Promoter decreasing their shareholding', 'Major fall in TTM Net Profit']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength']","['Upcoming Results for Nifty500 with Declining Share Price Over the Week', 'Company with negative growth and promoters decreasing shareholding QoQ', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
231,Infosys,INFY,"['Company with high TTM EPS Growth', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with No Debt', 'Increasing Revenue every Quarter for the past 4 Quarters', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)']","['Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Promoter decreasing their shareholding', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength']","['Recent Broker Downgrades in Reco or Target Price', 'Increasing Trend in Non-Core Income']"
232,INOX Leisure,INOXLEISUR,"['Rising Net Cash Flow and Cash from Operating activity', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Negative Breakdown First Support (LTP < S1)', 'MACD Crossover Below Signal Line', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 3 quarters', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']",['Increasing Trend in Non-Core Income']
233,Interglobe Avi,INDIGO,"['MACD Crossover Above Signal Line', 'Bullish Engulfing Pattern (Bullish Reversal)', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'Red Flag: High Interest Payments Compared to Earnings', 'MFs decreased their shareholding last quarter', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Low Piotroski Score : Companies with weak financials', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Annual net profit declining for last 2 years', 'Book Value Per Share deteriorating for last 2 years', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']",['Red Flags: Firms linked to ongoing regulatory investigations/legal cases']
234,IOB,IOB,"['Company with Low Debt', 'Company with Zero Promoter Pledge']","['Red Flag: High Interest Payments Compared to Earnings', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Low Piotroski Score : Companies with weak financials', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Book Value Per Share deteriorating for last 2 years']","['Positive Breakout First Resistance ( LTP > R1)', 'Decrease in NPA in recent results', 'Decrease in Provision in recent results', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength', 'High Volume, High Gain']",None
235,IOC,IOC,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing profits every quarter for the past 2 quarters', 'Company with Zero Promoter Pledge']","['Red Flag: High Interest Payments Compared to Earnings', 'MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years', 'Degrowth in Revenue and Profit', 'High PE with Negative ROE', 'Low Piotroski Score : Companies with weak financials', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Annual net profit declining for last 2 years', 'Major fall in TTM Net Profit']","['Brokers upgraded recommendation or target price in the past three months', 'RSI indicating price strength']","['Companies Increasing Debt as per Annual Report', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
236,Ipca Labs,IPCALAB,"['Stock passes majority of CANSLIM Investment criteria', 'Company with high TTM EPS Growth', 'Strong QoQ EPS Growth in recent results', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Near 52 Week High', 'Companies with rising net profit margins - quarterly as well as TTM basis', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength']",['Upcoming Results for Nifty500 with Declining Share Price Over the Week']
237,IRB Infra,IRB,"['Promoters increasing shareholding QoQ', 'Rising Net Cash Flow and Cash from Operating activity', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Book Value per share Improving for last 2 years', 'FII / FPI or Institutions increasing their shareholding']","['MFs decreased their shareholding last quarter', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 4 quarters', 'Annual net profit declining for last 2 years', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout First Resistance ( LTP > R1)', 'Highest Recovery from 52 Week Low', 'Stock with Low PE (PE < = 10)']",['Increasing Trend in Non-Core Income']
238,Ircon Internati,IRCON,"['Rising Net Cash Flow and Cash from Operating activity', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Company with Low Debt', 'Company reducing Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'High dividends, with rising dividend yields over last five years']","['Degrowth in Revenue and Profit', 'Decline in Net Profit (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining profits every quarter for the past 2 quarters', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages', 'Hanging Man (Bearish Reversal)']",['Positive Breakout Second Resistance  ( LTP > R2)'],['Increasing Trend in Non-Core Income']
239,IRCTC,IRCTC,"['Strong Annual EPS Growth', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Company with No Debt', 'Annual Net Profits improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['MFs decreased their shareholding last quarter', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 2 quarters', 'Declining profits every quarter for the past 2 quarters', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages']",None,"['Upcoming Results for Nifty500 with Declining Share Price Over the Week', 'Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
240,ITC,ITC,"['Company with Low Debt', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'High dividends, with rising dividend yields over last five years']","['Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining profits every quarter for the past 3 quarters', 'Declining Revenue every quarter for the past 2 quarters', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'RSI indicating price strength']","['Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
241,ITI,ITI,['Company with Zero Promoter Pledge'],"['High PE with Negative ROE', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 2 quarters', 'Declining profits every quarter for the past 2 quarters', 'Low Piotroski Score : Companies with weak financials', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Positive Breakout First Resistance ( LTP > R1)', 'Highest Recovery from 52 Week Low', 'High Volume, High Gain']","['Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
